unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
238,7,drought,early drought,12,3,T2315-2xT829-3,Y_Y,,,,,12-Apr,,26-Apr,,,,,,
241,8,water,late drought,46,6,T2311-6xL1502-12,Y_Y,,,,,,,26-Apr,,,,,,
242,8,water,water,31,7,T2803-3xL2221-11,Y_Y,,,,,,24-Apr,,,,,,,
243,8,water,water,46,3,T2311-6xL1502-12,Y_Y,14-may,,,,,24-Apr,,,,,,,
245,7,drought,early drought,28,9,B1916-3xT2829-3,M_Y,24-Apr,,,,12-Apr,,25-Apr,,,,1,,
246,8,water,late drought,9,6,B1427-3xB3018-3,M_M,,,,,,24-Apr,,,,,1,,
247,8,water,late drought,28,1,B1916-3xT2829-3,M_Y,,,,,,,25-Apr,,,,,,
249,8,water,late drought,24,5,B2212-3xT2930-2,M_Y,,,,,,24-Apr,,,,,1,,
251,8,water,water,14,8,B711-1xB1207-3,M_M,30-Apr,,,,,24-Apr,,,,,,,
252,8,water,water,21,9,B1207-2xB1127-2,M_M,24-Apr,,,,,24-Apr,,,,,,,
256,8,water,water,34,12,P2409-9xB2913-2,M_M,24-Apr,,,,,24-Apr,,,,,,,
257,8,water,water,26,10,T829-3xT2930-2,Y_Y,,,,,,24-Apr,,,,,,,
259,9,water,water,33,11,B2311-1xT2829-3,M_Y,30-Apr,,,,,,,,,,,,
260,9,water,late drought,19,11,P513-10xB2324-3,M_M,,,,,,,30-Apr,,,,,,
261,9,water,late drought,32,3,T2930-2xT829-3,Y_Y,20-may,,,,,,30-Apr,,,,,,
262,9,water,late drought,42,4,B2324-4xP513-10,M_M,,,,,,,30-Apr,,,,,,
263,9,water,late drought,31,2,T2803-3xL2221-11,Y_Y,03-may,,,,,,30-Apr,,,,,,
268,7,drought,early drought,30,2,V2519-8xL1502-12,Y_Y,,,,,12-Apr,,26-Apr,,,,,,
